Partition function;Beta;Energy of each Configuration;Unique energy levels
32.0;0.0;-4.0;-4.0
32.00640053335751;0.01;-2.0;-2.0
32.025608534880874;0.02;-0.0;-0.0
32.05764321762993;0.03;-2.0;2.0
32.1025366324088;0.04;-0.0;4.0
32.16033371136916;0.05;2.0;
32.23109232914818;0.06;-0.0;
32.31488338163459;0.07;-2.0;
32.41179088248347;0.08;-0.0;
32.5219120775274;0.09;2.0;
32.645357577259034;0.1;4.0;
32.78225150758783;0.11;2.0;
32.932731679101735;0.12;-0.0;
33.09694977509287;0.13;2.0;
33.27507155863513;0.14;-0.0;
33.46727709903084;0.15;-2.0;
33.673761017973185;0.16;-2.0;
33.8947327558017;0.17;-0.0;
34.13041685825869;0.18;2.0;
34.381053284186095;0.19;-0.0;
34.646897734634656;0.2;2.0;
34.92822200388987;0.21;4.0;
35.225314352953404;0.22;2.0;
35.538479906052885;0.23;-0.0;
35.868041070788735;0.24;-2.0;
36.214337982563066;0.25;-0.0;
36.57772897397333;0.26;2.0;
36.95859106989171;0.27;-0.0;
37.357320508991414;0.28;-2.0;
37.77433329252138;0.29;-0.0;
38.21006576117378;0.3;-2.0;
38.664975200931586;0.31;-4.0;
39.13954047882895;0.32;;
39.63426270960327;0.33;;
40.149665954265835;0.34;;
40.686297951667655;0.35000000000000003;;
41.24473088418823;0.36;;
41.82556217872833;0.37;;
42.42941534424257;0.38;;
43.05694084710463;0.39;;
43.708817025657055;0.4;;
44.38575104535839;0.41000000000000003;;
45.088479896004145;0.42;;
45.81777143256344;0.43;;
46.5744254612416;0.44;;
47.35927487244946;0.45;;
48.17318682243365;0.46;;
49.01706396539841;0.47000000000000003;;
49.89184573802804;0.48;;
50.79850969840189;0.49;;
51.73807292137843;0.5;;
52.711593452613855;0.51;;
53.72017182347259;0.52;;
54.764952629182424;0.53;;
55.84712617268674;0.54;;
56.96793017674901;0.55;;
58.12865156697241;0.56;;
59.33062832850857;0.5700000000000001;;
60.575251439345706;0.58;;
61.86396688318658;0.59;;
63.198277745052025;0.6;;
64.57974639287642;0.61;;
66.0099967484964;0.62;;
67.49071665157537;0.63;;
69.02366032015256;0.64;;
70.61065091165811;0.65;;
72.2535831883937;0.66;;
73.95442629164344;0.67;;
75.71522662875077;0.68;;
77.53811087767613;0.6900000000000001;;
79.4252891137348;0.7000000000000001;;
81.3790580634082;0.71;;
83.40180449032205;0.72;;
85.49600871869416;0.73;;
87.66424829977153;0.74;;
89.90920182700302;0.75;;
92.23365290592889;0.76;;
94.64049428501308;0.77;;
97.13273215389913;0.78;;
99.71349061583582;0.79;;
102.3860163412936;0.8;;
105.15368341008089;0.81;;
108.01999834956686;0.8200000000000001;;
110.98860537692897;0.8300000000000001;;
114.0632918536659;0.84;;
117.24799396095415;0.85;;
120.54680260477502;0.86;;
123.963969560105;0.87;;
127.50391386384001;0.88;;
131.17122846651952;0.89;;
134.97068715332682;0.9;;
138.9072517452689;0.91;;
142.98607959188428;0.92;;
147.21253136729004;0.93;;
151.59217918186013;0.9400000000000001;;
156.13081502232924;0.9500000000000001;;
160.83445953363736;0.96;;
165.70937115637355;0.97;;
170.76205563424114;0.98;;
175.99927590655656;0.99;;
181.42806240140405;1.0;;
