,0
0,2.4387605833855894
1,2.01867487939573
2,1.967714606438156
3,9.22332054323077
4,4.66899624655081
5,4.075838176100919
6,11.419310759547665
7,2.2715306394310075
8,1.052795458587688
9,2.4711836140130363
10,2.5107590117919947
11,2.450310869402085
12,1.1739450008881733
13,5.225849147824155
14,2.070186484748821
15,2.2002234120516406
16,1.7186880761117576
17,1.5460724481964974
18,2.553510740037447
19,2.1928717484503606
20,6.212228598930072
21,2.439910495198289
22,2.1921565584532905
23,2.1421998011321093
24,4.062412094378
25,3.471961274526026
26,1.6029065057051664
27,3.7056028039708933
28,2.6296522448793964
29,3.6290842793698372
30,5.878170176775236
31,1.779971980931526
32,1.2106963257736876
33,2.734888380660042
34,1.8896014464495328
35,2.600616517591316
36,3.8425002047361807
37,3.9640758320804874
38,2.840800905273371
39,1.9295317236277463
40,2.9509814779401244
41,2.6030475143525584
42,3.4702707716613923
43,2.9597388504336712
44,1.5482029951074716
45,2.887011514778058
46,7.589467597282907
47,1.6494327342477448
48,2.178323414367275
49,1.5556758759360467
50,3.03249721071271
51,3.8394628290767323
52,5.049661240559677
53,2.6216832398593968
54,6.297637155579635
55,2.474842852821616
56,2.3123313185442576
57,1.813019031781791
58,7.898215895009953
59,6.9083129671708825
60,10.809432719065223
61,3.2817327139026635
62,3.602336079005745
63,1.3079263304408189
64,2.159226971855491
65,9.277108674392046
66,2.3532074555336617
67,2.3835174700425954
68,1.2904887855095626
69,2.962114005429703
70,5.4976467407962835
71,3.2860532946626004
72,1.228709712701114
73,5.3598360523426685
74,3.9363227824850573
75,1.2106931283111826
76,2.607077742078882
77,2.8656190320107107
78,1.8728609839261385
79,2.197180585185689
80,3.237158482459095
81,3.255143400042451
82,2.157932128570876
83,1.47093190291813
84,1.2312806267320482
85,3.768928044131887
86,7.178810055474502
87,4.030193170805826
88,2.4861199151005073
89,5.214005022372392
90,2.20297271531309
91,2.1887958944124404
92,6.276048433068197
93,4.99634723406253
94,6.896735452159553
95,1.2097402932059558
96,2.4272922116805518
97,12.31612270605668
98,3.1131723073311846
99,2.084329553279713
100,4.069888797508396
101,2.5389984722326093
102,1.9577704584525808
103,4.249850207706129
104,1.4442269927729892
105,1.2996876508621353
106,2.9381991308063946
107,5.516348383552616
108,2.6951681504062903
109,2.369917320367488
110,2.310405876500579
111,3.478506196481894
112,1.263743551010239
113,2.466848152756615
114,8.456777461852498
115,1.3868905817999657
116,1.0147313195332806
117,5.165304529718595
118,2.1636592148394715
119,2.6054491733119463
120,4.408141147700482
121,2.4125068644142433
122,7.593688989101449
123,5.995455836891605
124,1.3481099846857039
125,4.517012201443538
126,2.2239980634531578
127,1.5881721468865049
128,2.957877783301196
129,3.41695608377518
130,5.042932760627533
131,4.869014910405864
132,2.5384542585712166
133,3.170580203556337
134,2.3226035866392394
135,0.6861644207744422
136,2.549516728339024
137,2.0430692569355644
138,1.8428953382836137
139,7.703599309607899
140,3.9061919239087644
141,2.992127658061681
142,3.622410483022591
143,2.364842288357064
144,2.175976852877362
145,5.490058067034342
146,5.767071944902565
147,1.5262540037640313
148,2.56436791884049
149,6.856674302652783
150,3.609373971700885
151,2.890286644358844
152,1.9662667650867254
153,5.483773542858945
154,14.486026032938886
155,2.289863720494319
156,1.6563114861987123
157,9.869906172616592
158,3.513169277473336
159,3.0551782866158854
160,4.212547766193394
161,1.9562878567805742
162,2.0183298437181474
163,3.2199373611346864
164,5.153983812836005
165,2.1702136040144313
166,6.0157382505763435
167,6.357619042420034
168,2.8382780169796864
169,3.9346670230615794
170,2.085526322816163
171,3.8259811156631023
172,1.842971563077846
173,6.549557256048465
174,4.241834530391466
175,2.9413367309646703
176,1.955937529908159
177,3.9709305704652955
178,3.5066446999618313
179,2.2233342798709055
180,2.0378632207484473
181,2.0671207130612324
182,4.240661871818598
183,6.136285133648815
184,4.159956572738492
