,0
0,-3.339339339339339
1,-4.116116116116116
2,-4.192192192192192
3,-4.26026026026026
4,-4.8008008008008005
5,-4.484484484484485
6,-3.4394394394394396
7,-4.788788788788789
8,-4.828828828828829
9,-5.025025025025025
10,-4.596596596596597
11,-5.061061061061061
12,-5.441441441441442
13,-5.177177177177177
14,-5.317317317317317
15,-6.01001001001001
16,-5.613613613613613
17,-6.898898898898899
18,-5.921921921921922
19,-6.034034034034034
20,-6.5625625625625625
21,-5.90990990990991
22,-5.821821821821822
23,-5.641641641641642
24,-5.793793793793794
25,-7.187187187187187
26,-6.474474474474475
27,-6.406406406406407
28,-6.45045045045045
29,-7.7557557557557555
30,-7.7757757757757755
31,-7.335335335335335
32,-7.41941941941942
33,-5.441441441441442
34,-7.047047047047047
35,-7.687687687687688
36,-8.184184184184184
37,-7.947947947947948
38,-7.655655655655655
39,-7.87987987987988
40,-7.251251251251252
41,-7.791791791791792
42,-8.472472472472472
43,-8.284284284284285
44,-9.097097097097096
45,-9.681681681681681
46,-7.875875875875876
47,-9.797797797797799
48,-9.133133133133134
49,-9.12912912912913
50,-9.501501501501501
51,-9.12112112112112
52,-10.11011011011011
53,-8.90890890890891
54,-10.042042042042041
55,-9.42942942942943
56,-9.537537537537538
57,-9.813813813813814
58,-8.432432432432432
59,-8.96096096096096
60,-11.883883883883884
61,-10.47047047047047
62,-9.92992992992993
63,-9.985985985985986
64,-9.945945945945946
65,-9.857857857857859
66,-10.674674674674675
67,-11.047047047047046
68,-10.362362362362362
69,-11.295295295295295
70,-11.487487487487487
71,-12.144144144144144
72,-11.471471471471471
73,-11.41941941941942
74,-10.734734734734735
75,-10.85885885885886
76,-10.65865865865866
77,-10.618618618618619
78,-11.487487487487487
79,-10.914914914914915
80,-12.772772772772774
81,-12.164164164164164
82,-11.483483483483484
83,-13.045045045045045
84,-13.137137137137136
85,-12.568568568568569
86,-12.416416416416416
87,-13.841841841841841
88,-12.46046046046046
89,-13.08908908908909
90,-12.684684684684685
91,-12.86086086086086
92,-12.248248248248249
93,-13.865865865865866
94,-13.641641641641641
95,-13.857857857857859
96,-12.936936936936936
97,-13.605605605605605
98,-13.057057057057056
99,-13.60960960960961
100,-12.524524524524525
101,-14.538538538538539
102,-14.214214214214214
103,-13.273273273273274
104,-14.77877877877878
105,-13.613613613613614
106,-13.84984984984985
107,-14.582582582582583
108,-13.36936936936937
109,-14.242242242242241
110,-12.712712712712714
111,-14.942942942942944
112,-16.04004004004004
113,-14.422422422422422
114,-15.911911911911911
115,-15.451451451451451
116,-14.074074074074074
117,-14.338338338338339
118,-14.866866866866866
119,-16.37237237237237
120,-14.31031031031031
121,-14.7987987987988
122,-14.538538538538539
123,-15.467467467467467
124,-15.57957957957958
125,-14.854854854854855
126,-15.771771771771771
127,-14.922922922922924
128,-16.53253253253253
129,-15.283283283283284
130,-15.37937937937938
131,-16.944944944944943
132,-16.684684684684683
133,-16.5005005005005
134,-15.083083083083084
135,-15.551551551551551
136,-17.493493493493492
137,-16.484484484484483
138,-14.642642642642643
139,-17.48148148148148
140,-16.56056056056056
141,-17.26126126126126
142,-16.776776776776778
143,-16.06006006006006
144,-16.92892892892893
145,-15.655655655655655
