,0
0,-14.271356783919598
1,-17.14572864321608
2,-13.608040201005025
3,-16.040201005025125
4,-19.33668341708543
5,-21.025125628140703
6,-18.030150753768844
7,-21.728643216080403
8,-15.175879396984925
9,-18.57286432160804
10,-18.21105527638191
11,-14.4321608040201
12,-20.7035175879397
13,-16.723618090452263
14,-18.412060301507537
15,-20.241206030150753
16,-16.0
17,-23.63819095477387
18,-17.889447236180903
19,-22.693467336683415
20,-16.64321608040201
21,-17.467336683417084
22,-22.170854271356784
23,-20.020100502512562
24,-19.417085427135678
25,-19.417085427135678
26,-18.71356783919598
27,-20.34170854271357
28,-22.231155778894472
29,-20.582914572864322
30,-19.21608040201005
31,-21.366834170854272
32,-26.331658291457288
33,-27.597989949748744
34,-23.65829145728643
35,-20.7035175879397
36,-25.44723618090452
37,-22.91457286432161
38,-19.678391959798994
39,-22.371859296482413
40,-23.09547738693467
41,-24.8643216080402
42,-27.07537688442211
43,-24.08040201005025
44,-22.814070351758794
45,-27.57788944723618
46,-22.371859296482413
47,-26.452261306532662
48,-22.91457286432161
49,-25.768844221105528
50,-31.35678391959799
51,-28.261306532663315
52,-25.246231155778894
53,-27.457286432160803
54,-30.934673366834172
55,-27.738693467336685
56,-28.582914572864322
57,-30.29145728643216
58,-25.768844221105528
59,-27.015075376884422
60,-27.85929648241206
61,-28.34170854271357
62,-21.64824120603015
63,-33.66834170854271
64,-32.26130653266332
65,-33.84924623115578
66,-25.34673366834171
67,-30.71356783919598
68,-32.42211055276382
69,-29.768844221105528
70,-22.71356783919598
71,-31.21608040201005
72,-23.33668341708543
73,-27.678391959798994
74,-28.603015075376884
75,-34.814070351758794
76,-28.64321608040201
77,-26.834170854271356
78,-32.221105527638194
79,-32.321608040201006
80,-30.532663316582916
81,-31.316582914572866
82,-25.809045226130653
83,-30.35175879396985
84,-32.984924623115575
85,-32.76381909547739
86,-32.42211055276382
87,-32.24120603015076
88,-30.71356783919598
89,-31.155778894472363
90,-29.969849246231156
91,-32.76381909547739
92,-37.5678391959799
93,-31.738693467336685
94,-32.743718592964825
95,-39.2964824120603
96,-36.20100502512563
97,-25.12562814070352
98,-37.48743718592965
99,-36.743718592964825
100,-30.190954773869347
101,-35.15577889447236
102,-35.41708542713568
103,-32.28140703517588
104,-33.50753768844221
105,-32.34170854271357
106,-28.56281407035176
107,-28.42211055276382
108,-35.91959798994975
109,-33.768844221105525
110,-35.19597989949749
111,-30.834170854271356
112,-35.597989949748744
113,-38.57286432160804
114,-39.31658291457286
115,-40.80402010050251
116,-43.55778894472362
117,-40.28140703517588
118,-36.904522613065325
119,-35.45728643216081
120,-30.472361809045225
121,-31.798994974874372
122,-29.849246231155778
123,-45.608040201005025
124,-36.80402010050251
125,-35.91959798994975
126,-34.030150753768844
127,-48.120603015075375
128,-37.869346733668344
129,-37.92964824120603
130,-42.472361809045225
131,-34.57286432160804
132,-36.8643216080402
133,-32.94472361809045
134,-42.994974874371856
135,-36.482412060301506
136,-36.94472361809045
137,-42.21105527638191
138,-38.391959798994975
139,-33.7286432160804
140,-45.78894472361809
141,-37.02512562814071
142,-38.01005025125628
143,-38.552763819095475
144,-44.743718592964825
145,-35.095477386934675
146,-36.34170854271357
147,-38.53266331658291
148,-38.311557788944725
149,-39.537688442211056
150,-41.22613065326633
151,-40.34170854271357
152,-41.42713567839196
153,-38.35175879396985
154,-39.41708542713568
155,-40.92462311557789
156,-44.402010050251256
157,-40.78391959798995
158,-33.50753768844221
159,-41.36683417085427
160,-39.11557788944724
161,-38.57286432160804
162,-42.21105527638191
163,-41.36683417085427
164,-43.2964824120603
165,-42.85427135678392
166,-40.34170854271357
167,-45.32663316582914
168,-39.095477386934675
169,-33.80904522613066
170,-39.597989949748744
171,-40.58291457286432
172,-40.72361809045226
173,-42.35175879396985
174,-42.914572864321606
175,-41.688442211055275
176,-43.79899497487437
177,-46.552763819095475
178,-39.678391959798994
179,-43.85929648241206
180,-47.11557788944724
181,-42.33165829145729
182,-44.84422110552764
183,-44.743718592964825
184,-49.36683417085427
185,-47.618090452261306
186,-39.678391959798994
187,-45.92964824120603
188,-40.7035175879397
189,-44.84422110552764
190,-36.72361809045226
191,-37.768844221105525
192,-46.814070351758794
193,-44.76381909547739
194,-45.14572864321608
195,-43.63819095477387
196,-40.18090452261306
197,-45.608040201005025
198,-48.482412060301506
199,-42.814070351758794
